5.10  Power Stations in the United Kingdom,,,,,,
            (operational at the end of May 2015)(1),,,,,,
,,,,,,
Company Name,Station Name,Fuel,Installed Capacity (MW),Year of commission or year generation began,"Location:
Scotland, Wales, Northern Ireland or English region",Footnotes
EDF Energy Renewables,Teeside,Wind (offshore),62,2014,North East,
Eggborough Power Ltd,Eggborough,Coal,1960,1967,Yorkshire and the Humber,
EPR Ely Limited,Elean,Straw,38,2001,East,
EPR Eye Ltd,Eye Suffolk,Biomass,13,1992,East,
EPR Glanford Ltd,Glanford,Meat & bone meal,13,1993,East,
EPR Scotland Ltd,Westfield,Biomass,12,2000,Scotland,
EPR Thetford Ltd,Thetford,Biomass,39,1998,East,
Falck Renewables Wind Ltd,Ben Aketil,Wind,28,2007,Scotland,
Falck Renewables Wind Ltd,Boyndie,Wind,16,2006,Scotland,
Falck Renewables Wind Ltd,Cefn Croes,Wind,59,2006,Wales,
Falck Renewables Wind Ltd,Earlsburn,Wind,38,2007,Scotland,
Falck Renewables Wind Ltd,Kilbraur,Wind,68,2008,Scotland,
Falck Renewables Wind Ltd,Millennium,Wind,65,2008,Scotland,
Falck Renewables Wind Ltd,Nutberry,Wind,15,2013,Scotland,
Falck Renewables Wind Ltd,West Browncastle,Wind,30,2014,Scotland,
Fenland Windfarms Ltd,Deeping,Wind,16,2006,East Midlands,(7)
Fenland Windfarms Ltd,Glass Moor,Wind,16,2006,East Midlands,(7)
Fenland Windfarms Ltd,Red House,Wind,12,2006,East Midlands,(7)
Fenland Windfarms Ltd,Red Tile,Wind,24,2007,East Midlands,(7)
Fred Olsen,Crystal Rig 2,Wind,138,2010,Scotland,
Fred Olsen,Crystal Rig,Wind,63,2003,Scotland,
Fred Olsen,Mid Hill,Wind,76,2014,Scotland,
Fred Olsen,Paul's Hill,Wind,64,2005,Scotland,
Fred Olsen,Rothes,Wind,51,2004,Scotland,
Fred Olsen,Rothes 2,Wind,41,2013,Scotland,
ENGIE,Blantyre,Wind,17,2014,Scotland,
ENGIE,Crimp,Wind,2,2011,South West,
ENGIE,Carsington,Wind,8,2014,East Midlands,
ENGIE,Flimby,Wind,6,2013,North West,
ENGIE,Scotia,Wind,20,2010,Scotland,
ENGIE,Barlockhart Moor,Wind,8,2013,Scotland,
ENGIE,Sober Hill,Wind,12,2013,Yorkshire and the Humber,
Great Orton Windfarm Ltd,Great Orton,Wind,4,1999,North West,(6) (7)
Greencoat UK Wind,Kildrummy,Wind,18,2013,Scotland,
Greencoat UK Wind,Cotton Farm,Wind,16,2013,East,
Greencoat UK Wind,Earls Hall Farm,Wind,10,2013,East,
High Hedley Hope Wind Ltd,Broomhill,Wind,8,2008,North East,(7)
High Hedley Hope Wind Ltd,High Hedley 1,Wind,2,2001,North East,(7)
High Hedley Hope Wind Ltd,High Hedley 2,Wind,5,2008,North East,(7)
High Hedley Hope Wind Ltd,Langley Park,Wind,8,2008,North East,(7)
High Hedley Hope Wind Ltd,Trimdon Grange,Wind,5,2008,North East,(7)
Infinis,Ardrossan,Wind,24,2004,Scotland,
Infinis,Ardrossan Extension,Wind,6,2008,Scotland,
Infinis,Blackstone Edge,Wind,6,2013,Yorkshire and the Humber,
Infinis,Dalswinton,Wind,30,2008,Scotland,
Infinis,Glenkerie,Wind,20,2012,Scotland,
Infinis,Gordonstown,Wind,6,2013,Scotland,
Infinis,Hill of Fiddes,Wind,7,2010,Scotland,
Infinis,Lissett,Wind,30,2007,Yorkshire and the Humber,
Infinis,Low Spinney,Wind,8,2011,East Midlands,
Infinis,Minsca,Wind,37,2008,Scotland,
Infinis,Mynydd Clogau,Wind,14,2004,Wales,
Infinis,Rheidol,Wind,2,1997,Wales,
Infinis,Seamer,Wind,10,2012,North East,
Infinis,Slieve Divena,Wind,30,2009,N Ireland,
Infinis,Westfield,Wind,10,2013,Scotland,
Infinis,Wingates,Wind,15,2013,North East,
Intergen,Coryton,CCGT,800,2001,East,
Intergen,Rocksavage,CCGT,810,1998,North West,
Intergen,Spalding,CCGT,880,2004,East Midlands,
ENGIE,Deeside,CCGT,515,1994,Wales,
ENGIE,Saltend,CCGT,1200,2000,Yorkshire and the Humber,
ENGIE,Rugeley,Coal,1006,1972,West Midlands,
ENGIE,Rugeley GT,Gas oil,50,1972,West Midlands,
ENGIE,Indian Queens,Gas oil / kerosene,140,1996,South West,
ENGIE,Dinorwig,Pumped storage,1728,1983,Wales,
ENGIE,Ffestiniog,Pumped storage,360,1961,Wales,
K/S Winscales,Winscales 1,Wind,2,1999,North West,(7)
K/S Winscales,Winscales 2,Wind,7,2005,North West,(7)
Kirkheaton Wind Ltd,Kirkheaton,Wind,2,2000,North East,(7)
Llangwyryfon Windfarm Ltd,Llangwyryfon,Wind,9,2003,Wales,(7)
London Array Ltd,London Array,Wind (offshore),630,2012,South East,(13)
Londonwaste Limited,Edmonton,Waste,60,1970,South East,
Lynemouth Power Ltd,Lynemouth,Coal,420,1972,North East,(14)
Magnox Ltd,Maentwrog,Hydro,35,1928,Wales,(15)
Magnox Ltd,Wylfa,Nuclear,490,1971,Wales,
Marchwood Power Limited,Marchwood,CCGT,842,2009,South West,(16)
MEAG,Bagmoor,Wind,16,2009,East Midlands,(17)
MEAG,Scout Moor,Wind,65,2009,North West,(3) (17)
MEAG,Tir Mostyn & Foel Goch,Wind,21,2005,Wales,(17)
MEAG,Newton of Fortrie,Wind,7,2013,Scotland,(17)
MEAG,Middlewick,Wind,21,2014,South East,(17)
MEAG,GV March ,Wind,2,2012,East Midlands,(17)
MPF Operations Limited,Severn Power,CCGT,850,2010,Wales,
MPF Operations Limited,Baglan Bay CCGT,CCGT,520,2002,Wales,
MPF Operations Limited,Baglan Bay OCGT,OCGT,32,2002,Wales,
MPF Operations Limited,Sutton Bridge,CCGT,819,1999,East,
Peel Energy Ltd,Seaforth,Wind,3,1999,North West,
Prime Renewables Gmbh,Port of Liverpool,Wind,10,2008,North West,
Px Limited,Fellside CHP *,Gas,180,1995,North West,(18)
Resonance,Arnish Moor,Wind,4,2006,Scotland,(17)
Resonance,Betty Hill,Wind,6,2013,Scotland,(17)
Resonance,Dewlay Cheese,Wind,2,2010,North West,(17)
Resonance,Solutia,Wind,5,2009,Wales,(17)
Resonance,Strath of Brydock,Wind,7,2009,Scotland,(17)
Resonance,Workington (Eastman),Wind,4,2005,North West,(17)
RES-UK & Ireland Ltd,Dyffryn Brodyn,Wind,5,1994,Wales,
RES-UK & Ireland Ltd,Four Burrows,Wind,5,1995,South West,
RES-UK & Ireland Ltd,Woolley Hill,Wind,10,2014,East,
RES-UK & Ireland Ltd,Jacks Lane,Wind,15,2014,East,
Riverside Resource Recovery Limited,Belvedere,Waste,80,2011,South East,
RWE Npower Plc,Didcot B,CCGT,1470,1998,South East,
RWE Npower Plc,Great Yarmouth,CCGT,420,2001,East,
RWE Npower Plc,Little Barford,CCGT,720,1995,East,
RWE Npower Plc,Pembroke,CCGT,2180,2012,Wales,
RWE Npower Plc,Staythorpe C,CCGT,1772,2010,East Midlands,
RWE Npower Plc,Aberthaw B,Coal,1586,1971,Wales,
RWE Npower Plc,Aberthaw GT,Gas oil,51,1971,Wales,
RWE Npower Plc,Cowes,Gas oil,140,1982,South East,
RWE Npower Plc,Didcot GT,Gas oil,100,1972,South East,
RWE Npower Plc,Little Barford GT,Gas oil,17,2006,East,
RWE Npower Plc,Littlebrook GT,Gas oil,105,1982,South East,
RWE Npower Plc,Littlebrook D,Oil,1370,1982,South East,
RWE Innogy UK Ltd (Part of RWE Npower),Black Rock,Hydro,4,2012,Scotland,
RWE Innogy UK Ltd (Part of RWE Npower),Braevallich,Hydro,2,2005,Scotland,
RWE Innogy UK Ltd (Part of RWE Npower),Carnoch,Hydro,1,2009,Scotland,
RWE Innogy UK Ltd (Part of RWE Npower),Cwm Dyli,Hydro,10,2002,Wales,(8)
RWE Innogy UK Ltd (Part of RWE Npower),Dolgarrog High Head,Hydro,17,2002,Wales,(8)
RWE Innogy UK Ltd (Part of RWE Npower),Dolgarrog Low Head,Hydro,15,1926/2002,Wales,
RWE Innogy UK Ltd (Part of RWE Npower),Douglas Water,Hydro,3,2008,Scotland,
RWE Innogy UK Ltd (Part of RWE Npower),Garrogie,Hydro,2,2005,Scotland,
RWE Innogy UK Ltd (Part of RWE Npower),Inverbain,Hydro,1,2006,Scotland,
RWE Innogy UK Ltd (Part of RWE Npower),Inverlael,Hydro,3,2009,Scotland,
RWE Innogy UK Ltd (Part of RWE Npower),Kielder,Hydro,6,2006,North East,(8)
RWE Innogy UK Ltd (Part of RWE Npower),Maldie,Hydro,4,2013,Scotland,
RWE Innogy UK Ltd (Part of RWE Npower),River E,Hydro,3,2008,Scotland,
RWE Innogy UK Ltd (Part of RWE Npower),An Suidhe,Wind,22,2005,Scotland,
RWE Innogy UK Ltd (Part of RWE Npower),Bilbster,Wind,4,2008,Scotland,
RWE Innogy UK Ltd (Part of RWE Npower),Bradwell,Wind,21,2013,North East,
RWE Innogy UK Ltd (Part of RWE Npower),Burgar Hill,Wind,5,2007,Scotland,
RWE Innogy UK Ltd (Part of RWE Npower),Goole Fields,Wind,4,2013,North East,
RWE Innogy UK Ltd (Part of RWE Npower),Hameldon Hill,Wind,6,2007,North West,
RWE Innogy UK Ltd (Part of RWE Npower),Hameldon Hill Extension,Wind,6,2014,North West,
RWE Innogy UK Ltd (Part of RWE Npower),Hellrigg,Wind,9,2012,North West,
RWE Innogy UK Ltd (Part of RWE Npower),Hollies,Wind,3,2008,East,
RWE Innogy UK Ltd (Part of RWE Npower),Kiln Pit Hill,Wind,14,2012,North East,
RWE Innogy UK Ltd (Part of RWE Npower),Knabs Ridge,Wind,16,2008,North East,
RWE Innogy UK Ltd (Part of RWE Npower),Lindhurst,Wind,9,2010,East Midlands,
RWE Innogy UK Ltd (Part of RWE Npower),Little Cheyne Court,Wind,60,2008,South East,
RWE Innogy UK Ltd (Part of RWE Npower),Middlemoor,Wind,54,2013,North East,
RWE Innogy UK Ltd (Part of RWE Npower),Novar 2,Wind,37,2012,Scotland,
RWE Innogy UK Ltd (Part of RWE Npower),Rhyl Flats,Wind (offshore),90,2009,Wales,
RWE Innogy UK Ltd (Part of RWE Npower),Gwynt y Mor,Wind (offshore),576,2013,Wales,
RWE Innogy UK Ltd,Markinch CHP,Biomass,65,2014,Scotland,
Scottish and Southern: Hydro Schemes - Affric/Beauly,Aigas,Hydro,20,1962,Scotland,
Scottish and Southern: Hydro Schemes - Affric/Beauly,Culligran,Hydro,17,1962,Scotland,
Scottish and Southern: Hydro Schemes - Affric/Beauly,Culligran Compensation Set,Hydro,2,1962,Scotland,
Scottish and Southern: Hydro Schemes - Affric/Beauly,Deanie,Hydro,38,1963,Scotland,
Scottish and Southern: Hydro Schemes - Affric/Beauly,Fasnakyle,Hydro,69,1951,Scotland,
Scottish and Southern: Hydro Schemes - Affric/Beauly,Fasnakyle Compensation Set,Hydro,8,2006,Scotland,
Scottish and Southern: Hydro Schemes - Affric/Beauly,Kilmorack,Hydro,20,1962,Scotland,
Scottish and Southern: Hydro Schemes - Affric/Beauly,Mullardoch Tunnel,Hydro,2,1955,Scotland,
Scottish and Southern: Hydro Schemes - Breadalbane,Cashlie,Hydro,11,1959,Scotland,
Scottish and Southern: Hydro Schemes - Breadalbane,Dalchonzie,Hydro,4,1958,Scotland,
Scottish and Southern: Hydro Schemes - Breadalbane,Finlarig,Hydro,17,1955,Scotland,
Scottish and Southern: Hydro Schemes - Breadalbane,Lednock,Hydro,3,1961,Scotland,
Scottish and Southern: Hydro Schemes - Breadalbane,Lochay,Hydro,46,1958,Scotland,
Scottish and Southern: Hydro Schemes - Breadalbane,Lochay Compensation Set,Hydro,2,1959,Scotland,
Scottish and Southern: Hydro Schemes - Breadalbane,Lubreoch,Hydro,4,1958,Scotland,
Scottish and Southern: Hydro Schemes - Breadalbane,St. Fillans,Hydro,17,1957,Scotland,
Scottish and Southern: Hydro Schemes - Conon,Achanalt,Hydro,3,1956,Scotland,
Scottish and Southern: Hydro Schemes - Conon,Cuileg,Hydro,3,2002,Scotland,
Scottish and Southern: Hydro Schemes - Conon,Grudie Bridge,Hydro,19,1950,Scotland,
Scottish and Southern: Hydro Schemes - Conon,Luichart,Hydro,34,1954,Scotland,
Scottish and Southern: Hydro Schemes - Conon,Loch Dubh,Hydro,1,1954,Scotland,
Scottish and Southern: Hydro Schemes - Conon,Mossford,Hydro,19,1957,Scotland,
Scottish and Southern: Hydro Schemes - Conon,Orrin,Hydro,18,1959,Scotland,
Scottish and Southern: Hydro Schemes - Conon,Torr Achilty,Hydro,15,1954,Scotland,
Scottish and Southern: Hydro Schemes - Foyers,Foyers,Hydro / pumped storage,300,1974,Scotland,
Scottish and Southern: Hydro Schemes - Great Glen,Ceannacroc,Hydro,20,1956,Scotland,
Scottish and Southern: Hydro Schemes - Great Glen,Foyers Falls,Hydro,5,1968,Scotland,
Scottish and Southern: Hydro Schemes - Great Glen,Glendoe,Hydro,100,2008,Scotland,
Scottish and Southern: Hydro Schemes - Great Glen,Glenmoriston,Hydro,40,1957,Scotland,
Scottish and Southern: Hydro Schemes - Great Glen,Invergarry,Hydro,20,1956,Scotland,
Scottish and Southern: Hydro Schemes - Great Glen,Kingairloch,Hydro,4,2005,Scotland,
Scottish and Southern: Hydro Schemes - Great Glen,Livishie,Hydro,17,1962,Scotland,
Scottish and Southern: Hydro Schemes - Great Glen,Mucomir,Hydro,2,1962,Scotland,
Scottish and Southern: Hydro Schemes - Great Glen,Quoich,Hydro,18,1955,Scotland,
Scottish and Southern: Hydro Schemes - Shin,Cassley,Hydro,10,1959,Scotland,
Scottish and Southern: Hydro Schemes - Shin,Lairg,Hydro,4,1959,Scotland,
Scottish and Southern: Hydro Schemes - Shin,Shin,Hydro,19,1958,Scotland,
Scottish and Southern: Hydro Schemes - Sloy/Awe,Allt-na-Lairige,Hydro,7,1956,Scotland,
Scottish and Southern: Hydro Schemes - Sloy/Awe,Clachan,Hydro,40,1955,Scotland,
Scottish and Southern: Hydro Schemes - Sloy/Awe,Inverawe,Hydro,25,1963,Scotland,
Scottish and Southern: Hydro Schemes - Sloy/Awe,Kilmelfort,Hydro,2,1956,Scotland,
Scottish and Southern: Hydro Schemes - Sloy/Awe,Loch Gair,Hydro,6,1961,Scotland,
Scottish and Southern: Hydro Schemes - Sloy/Awe,Lussa,Hydro,2,1952,Scotland,
Scottish and Southern: Hydro Schemes - Sloy/Awe,Nant,Hydro,15,1963,Scotland,
Scottish and Southern: Hydro Schemes - Sloy/Awe,Sloy,Hydro,153,1950,Scotland,
Scottish and Southern: Hydro Schemes - Sloy/Awe,Sron Mor,Hydro,4,1957,Scotland,
Scottish and Southern: Hydro Schemes - Sloy/Awe,Striven,Hydro,8,1951,Scotland,
Scottish and Southern: Hydro Schemes - Tummel,Clunie,Hydro,61,1950,Scotland,
Scottish and Southern: Hydro Schemes - Tummel,Cuaich,Hydro,3,1959,Scotland,
Scottish and Southern: Hydro Schemes - Tummel,Errochty,Hydro,75,1955,Scotland,
Scottish and Southern: Hydro Schemes - Tummel,Gaur,Hydro,8,1953,Scotland,
Scottish and Southern: Hydro Schemes - Tummel,Loch Ericht,Hydro,2,1962,Scotland,
Scottish and Southern: Hydro Schemes - Tummel,Pitlochry,Hydro,15,1950,Scotland,
Scottish and Southern: Hydro Schemes - Tummel,Rannoch,Hydro,45,1930,Scotland,
Scottish and Southern: Hydro Schemes - Tummel,Tummel,Hydro,34,1933,Scotland,
Scottish and Southern: Wind,Achany,Wind,38,2010,Scotland,
Scottish and Southern: Wind,Artfield Fell,Wind,20,2005,Scotland,
Scottish and Southern: Wind,Balmurrie Fell,Wind,9,2012,Scotland,
Scottish and Southern: Wind,Bessy Bell 1,Wind,5,1995,Northern Ireland,
Scottish and Southern: Wind,Bessy Bell 2,Wind,9,2008,Northern Ireland,
Scottish and Southern: Wind - Bin Mountain Windfarm (NI) Limited,Bin Mountain,Wind,9,2007,Northern Ireland,(19)
Scottish and Southern: Wind - Carcant Windfarm (Scotland) Limited,Carcant,Wind,7,2010,Scotland,(19)
Scottish and Southern: Wind,Cathkin Braes,Wind,3,2013,Scotland,
Scottish and Southern: Wind - Clyde Windfarm (Scotland) Limited,Clyde Central,Wind,113,2011,Scotland,
Scottish and Southern: Wind - Clyde Windfarm (Scotland) Limited,Clyde North,Wind,108,2012,Scotland,
Scottish and Southern: Wind - Clyde Windfarm (Scotland) Limited,Clyde South,Wind,129,2011,Scotland,
Scottish and Southern: Wind,Drumderg,Wind,37,2008,Scotland,
Scottish and Southern: Wind,Fairburn,Wind,40,2009,Scotland,
Scottish and Southern: Wind,Gordonbush,Wind,70,2011,Scotland,
Scottish and Southern: Wind - Griffin Windfarm Limited,Griffin,Wind,189,2011,Scotland,
Scottish and Southern: Wind,Hadyard Hill,Wind,120,2005,Scotland,
Scottish and Southern: Wind - Keadby Wind Farm Limited,Keadby,Wind,68,2013,Yorkshire and the Humber,
Scottish and Southern: Wind,National Offshore Wind Turbine Test Facility (NOWTTF),Wind,13,2014,Scotland,
Scottish and Southern: Wind,Port of Tilbury,Wind,9,2013,East,
Scottish and Southern: Wind,Slieve Kirk,Wind,74,2011,Northern Ireland,
Scottish and Southern: Wind,Spurness Extension,Wind,10,2012,Scotland,(20)
Scottish and Southern: Wind,Tangy,Wind,19,2002,Scotland,
Scottish and Southern: Wind - Tappaghan Windfarm (NI) Limited,Tappaghan,Wind,29,2005,Northern Ireland,(19)
Scottish and Southern: Wind - SSE Toddleburn Limited,Toddleburn,Wind,28,2010,Scotland,
Scottish and Southern: Small Hydros,Chliostair,Hydro,1,1960,Scotland,
Scottish and Southern: Small Hydros,Kerry Falls,Hydro,1,1951,Scotland,
Scottish and Southern: Small Hydros,Nostie Bridge,Hydro,1,1950,Scotland,
Scottish and Southern: Small Hydros,Storr Lochs,Hydro,2,1952,Scotland,
Scottish and Southern: Thermal,Medway,CCGT,700,1995,South East,
Scottish and Southern: Thermal,Peterhead,CCGT,1180,1980,Scotland,(22)
Scottish and Southern: Thermal,Ferrybridge C,Coal / biomass,980,1966,Yorkshire and the Humber,
Scottish and Southern: Thermal,Fiddler’s Ferry,Coal / biomass,1961,1971,North West,
Scottish and Southern: Thermal,Slough *,Coal / biomass / gas / waste derived fuel,35,1918,South East,
Scottish and Southern: Thermal,Chippenham,Gas,10,2002,South West,
Scottish and Southern: Thermal,Ferrybridge GT,Gas oil,34,1966,Yorkshire and the Humber,
Scottish and Southern: Thermal,Fiddler’s Ferry GT,Gas oil,34,1969,North West,
Scottish and Southern: Thermal,Keadby GT,Gas oil,25,1994,Yorkshire and the Humber,
Scottish and Southern: Thermal,Burghfield,Gas / oil,45,1998,South East,
Scottish and Southern: Thermal,Chickerell,Gas / oil,45,1998,South West,
Scottish and Southern: Thermal,Five Oaks,Light oil,9,1995,South East,
Scottish and Southern: Thermal,Thatcham,Light oil,9,1994,South East,
Scottish and Southern: Island Generation,Arnish,Diesel,10,2001,Scotland,
Scottish and Southern: Island Generation,Barra,Diesel,3,1990,Scotland,
Scottish and Southern: Island Generation,Bowmore,Diesel,6,1946,Scotland,
Scottish and Southern: Island Generation,Kirkwall,Diesel,16,1953,Scotland,
Scottish and Southern: Island Generation,Lerwick,Diesel,67,1953,Scotland,
